id,source_id,name,brand,category,category_slug,description,price_usd,price_vnd,discount_percentage,rating,review_count,stock,sku,availability,product_url,image_url,image_path,source
1,1,Essence Mascara Lash Princess,Essence,Làm đẹp,beauty,The Essence Mascara Lash Princess is a popular mascara known for its volumizing and lengthening effects. Achieve dramatic lashes with this long-lasting and cruelty-free formula.,9.99,250000,10.48,2.56,3,99,BEA-ESS-ESS-001,In Stock,https://dummyjson.com/products/1,https://cdn.dummyjson.com/product-images/beauty/essence-mascara-lash-princess/thumbnail.webp,data/catalog/images/product_001.webp,DummyJSON Products API
2,2,Eyeshadow Palette with Mirror,Glamour Beauty,Làm đẹp,beauty,"The Eyeshadow Palette with Mirror offers a versatile range of eyeshadow shades for creating stunning eye looks. With a built-in mirror, it's convenient for on-the-go makeup application.",19.99,500000,18.19,2.86,3,34,BEA-GLA-EYE-002,In Stock,https://dummyjson.com/products/2,https://cdn.dummyjson.com/product-images/beauty/eyeshadow-palette-with-mirror/thumbnail.webp,data/catalog/images/product_002.webp,DummyJSON Products API
3,3,Powder Canister,Velvet Touch,Làm đẹp,beauty,"The Powder Canister is a finely milled setting powder designed to set makeup and control shine. With a lightweight and translucent formula, it provides a smooth and matte finish.",14.99,370000,9.84,4.64,3,89,BEA-VEL-POW-003,In Stock,https://dummyjson.com/products/3,https://cdn.dummyjson.com/product-images/beauty/powder-canister/thumbnail.webp,data/catalog/images/product_003.webp,DummyJSON Products API
4,4,Red Lipstick,Chic Cosmetics,Làm đẹp,beauty,"The Red Lipstick is a classic and bold choice for adding a pop of color to your lips. With a creamy and pigmented formula, it provides a vibrant and long-lasting finish.",12.99,320000,12.16,4.36,3,91,BEA-CHI-LIP-004,In Stock,https://dummyjson.com/products/4,https://cdn.dummyjson.com/product-images/beauty/red-lipstick/thumbnail.webp,data/catalog/images/product_004.webp,DummyJSON Products API
5,5,Red Nail Polish,Nail Couture,Làm đẹp,beauty,"The Red Nail Polish offers a rich and glossy red hue for vibrant and polished nails. With a quick-drying formula, it provides a salon-quality finish at home.",8.99,220000,11.44,4.32,3,79,BEA-NAI-NAI-005,In Stock,https://dummyjson.com/products/5,https://cdn.dummyjson.com/product-images/beauty/red-nail-polish/thumbnail.webp,data/catalog/images/product_005.webp,DummyJSON Products API
6,6,Calvin Klein CK One,Calvin Klein,Nước hoa,fragrances,"CK One by Calvin Klein is a classic unisex fragrance, known for its fresh and clean scent. It's a versatile fragrance suitable for everyday wear.",49.99,1250000,1.89,4.37,3,29,FRA-CAL-CAL-006,In Stock,https://dummyjson.com/products/6,https://cdn.dummyjson.com/product-images/fragrances/calvin-klein-ck-one/thumbnail.webp,data/catalog/images/product_006.webp,DummyJSON Products API
7,7,Chanel Coco Noir Eau De,Chanel,Nước hoa,fragrances,"Coco Noir by Chanel is an elegant and mysterious fragrance, featuring notes of grapefruit, rose, and sandalwood. Perfect for evening occasions.",129.99,3250000,16.51,4.26,3,58,FRA-CHA-CHA-007,In Stock,https://dummyjson.com/products/7,https://cdn.dummyjson.com/product-images/fragrances/chanel-coco-noir-eau-de/thumbnail.webp,data/catalog/images/product_007.webp,DummyJSON Products API
8,8,Dior J'adore,Dior,Nước hoa,fragrances,"J'adore by Dior is a luxurious and floral fragrance, known for its blend of ylang-ylang, rose, and jasmine. It embodies femininity and sophistication.",89.99,2250000,14.72,3.8,3,98,FRA-DIO-DIO-008,In Stock,https://dummyjson.com/products/8,https://cdn.dummyjson.com/product-images/fragrances/dior-j'adore/thumbnail.webp,data/catalog/images/product_008.webp,DummyJSON Products API
9,9,Dolce Shine Eau de,Dolce & Gabbana,Nước hoa,fragrances,"Dolce Shine by Dolce & Gabbana is a vibrant and fruity fragrance, featuring notes of mango, jasmine, and blonde woods. It's a joyful and youthful scent.",69.99,1750000,0.62,3.96,3,4,FRA-DOL-DOL-009,Low Stock,https://dummyjson.com/products/9,https://cdn.dummyjson.com/product-images/fragrances/dolce-shine-eau-de/thumbnail.webp,data/catalog/images/product_009.webp,DummyJSON Products API
10,10,Gucci Bloom Eau de,Gucci,Nước hoa,fragrances,"Gucci Bloom by Gucci is a floral and captivating fragrance, with notes of tuberose, jasmine, and Rangoon creeper. It's a modern and romantic scent.",79.99,2000000,14.39,2.74,3,91,FRA-GUC-GUC-010,In Stock,https://dummyjson.com/products/10,https://cdn.dummyjson.com/product-images/fragrances/gucci-bloom-eau-de/thumbnail.webp,data/catalog/images/product_010.webp,DummyJSON Products API
11,11,Annibale Colombo Bed,Annibale Colombo,Nội thất,furniture,"The Annibale Colombo Bed is a luxurious and elegant bed frame, crafted with high-quality materials for a comfortable and stylish bedroom.",1899.99,47500000,8.57,4.77,3,88,FUR-ANN-ANN-011,In Stock,https://dummyjson.com/products/11,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-bed/thumbnail.webp,data/catalog/images/product_011.webp,DummyJSON Products API
12,12,Annibale Colombo Sofa,Annibale Colombo,Nội thất,furniture,"The Annibale Colombo Sofa is a sophisticated and comfortable seating option, featuring exquisite design and premium upholstery for your living room.",2499.99,62500000,14.4,3.92,3,60,FUR-ANN-ANN-012,In Stock,https://dummyjson.com/products/12,https://cdn.dummyjson.com/product-images/furniture/annibale-colombo-sofa/thumbnail.webp,data/catalog/images/product_012.webp,DummyJSON Products API
13,13,Bedside Table African Cherry,Furniture Co.,Nội thất,furniture,"The Bedside Table in African Cherry is a stylish and functional addition to your bedroom, providing convenient storage space and a touch of elegance.",299.99,7500000,19.09,2.87,3,64,FUR-FUR-BED-013,In Stock,https://dummyjson.com/products/13,https://cdn.dummyjson.com/product-images/furniture/bedside-table-african-cherry/thumbnail.webp,data/catalog/images/product_013.webp,DummyJSON Products API
14,14,Knoll Saarinen Executive Conference Chair,Knoll,Nội thất,furniture,"The Knoll Saarinen Executive Conference Chair is a modern and ergonomic chair, perfect for your office or conference room with its timeless design.",499.99,12500000,2.01,4.88,3,26,FUR-KNO-KNO-014,In Stock,https://dummyjson.com/products/14,https://cdn.dummyjson.com/product-images/furniture/knoll-saarinen-executive-conference-chair/thumbnail.webp,data/catalog/images/product_014.webp,DummyJSON Products API
15,15,Wooden Bathroom Sink With Mirror,Bath Trends,Nội thất,furniture,"The Wooden Bathroom Sink with Mirror is a unique and stylish addition to your bathroom, featuring a wooden sink countertop and a matching mirror.",799.99,20000000,8.8,3.59,3,7,FUR-BAT-WOO-015,Low Stock,https://dummyjson.com/products/15,https://cdn.dummyjson.com/product-images/furniture/wooden-bathroom-sink-with-mirror/thumbnail.webp,data/catalog/images/product_015.webp,DummyJSON Products API
16,16,Apple,Khác,Thực phẩm,groceries,"Fresh and crisp apples, perfect for snacking or incorporating into various recipes.",1.99,50000,12.62,4.19,3,8,GRO-BRD-APP-016,In Stock,https://dummyjson.com/products/16,https://cdn.dummyjson.com/product-images/groceries/apple/thumbnail.webp,data/catalog/images/product_016.webp,DummyJSON Products API
17,17,Beef Steak,Khác,Thực phẩm,groceries,"High-quality beef steak, great for grilling or cooking to your preferred level of doneness.",12.99,320000,9.61,4.47,3,86,GRO-BRD-BEE-017,In Stock,https://dummyjson.com/products/17,https://cdn.dummyjson.com/product-images/groceries/beef-steak/thumbnail.webp,data/catalog/images/product_017.webp,DummyJSON Products API
18,18,Cat Food,Khác,Thực phẩm,groceries,Nutritious cat food formulated to meet the dietary needs of your feline friend.,8.99,220000,9.58,3.13,3,46,GRO-BRD-FOO-018,In Stock,https://dummyjson.com/products/18,https://cdn.dummyjson.com/product-images/groceries/cat-food/thumbnail.webp,data/catalog/images/product_018.webp,DummyJSON Products API
19,19,Chicken Meat,Khác,Thực phẩm,groceries,"Fresh and tender chicken meat, suitable for various culinary preparations.",9.99,250000,13.7,3.19,3,97,GRO-BRD-CHI-019,In Stock,https://dummyjson.com/products/19,https://cdn.dummyjson.com/product-images/groceries/chicken-meat/thumbnail.webp,data/catalog/images/product_019.webp,DummyJSON Products API
20,20,Cooking Oil,Khác,Thực phẩm,groceries,"Versatile cooking oil suitable for frying, sautéing, and various culinary applications.",4.99,120000,9.33,4.8,3,10,GRO-BRD-COO-020,In Stock,https://dummyjson.com/products/20,https://cdn.dummyjson.com/product-images/groceries/cooking-oil/thumbnail.webp,data/catalog/images/product_020.webp,DummyJSON Products API
21,21,Cucumber,Khác,Thực phẩm,groceries,"Crisp and hydrating cucumbers, ideal for salads, snacks, or as a refreshing side.",1.49,40000,0.16,4.07,3,84,GRO-BRD-CUC-021,In Stock,https://dummyjson.com/products/21,https://cdn.dummyjson.com/product-images/groceries/cucumber/thumbnail.webp,data/catalog/images/product_021.webp,DummyJSON Products API
22,22,Dog Food,Khác,Thực phẩm,groceries,Specially formulated dog food designed to provide essential nutrients for your canine companion.,10.99,270000,10.27,4.55,3,71,GRO-BRD-FOO-022,In Stock,https://dummyjson.com/products/22,https://cdn.dummyjson.com/product-images/groceries/dog-food/thumbnail.webp,data/catalog/images/product_022.webp,DummyJSON Products API
23,23,Eggs,Khác,Thực phẩm,groceries,"Fresh eggs, a versatile ingredient for baking, cooking, or breakfast.",2.99,70000,11.05,2.53,3,9,GRO-BRD-EGG-023,In Stock,https://dummyjson.com/products/23,https://cdn.dummyjson.com/product-images/groceries/eggs/thumbnail.webp,data/catalog/images/product_023.webp,DummyJSON Products API
